Index,DTE,Avg_Coverage_Premium_Percent,Spot_Close,Average_Premium
Sensex,0,0.60,85186.47,511.11
Nifty,2,1.31,26052.65,341.28
Bank Nifty,2,1.31,59216.05,775.73
